accommodates,bathrooms,bedrooms,beds,avg_rating,number_of_reviews,calculated_host_listings_count,host_response_rate,host_is_superhost,neighbourhood_cleansed,property_type,price
1,1.0,1.0,1.0,4.942857142857143,5,1,1.0,f,Ward 77,Private room in home,6.55250788703459
2,1.0,1.0,1.0,4.984285714285714,9,3,1.0,f,Ward 74,Entire guesthouse,7.208600337960199
2,1.0,1.0,1.0,4.892857142857143,29,7,1.0,t,Ward 74,Entire cabin,7.3987862754199485
2,1.0,1.0,1.0,4.848571428571428,126,126,1.0,t,Ward 115,Entire condo,7.498869733976931
2,1.0,1.0,1.0,5.0,1,4,0.83,f,Ward 55,Entire serviced apartment,7.0909098220799835
2,1.0,1.0,1.0,4.864285714285715,23,1,1.0,f,Ward 115,Entire condo,6.878326468291325
4,1.0,1.0,2.0,4.795714285714285,137,12,0.99,f,Ward 115,Entire rental unit,6.792344427470809
2,1.5,1.0,1.0,4.828571428571428,5,15,1.0,f,Ward 54,Private room in bed and breakfast,7.478734825567875
1,1.0,1.0,1.0,4.8999999999999995,10,5,1.0,t,Ward 115,Room in hotel,7.671360923190644
2,1.0,1.0,1.0,3.142857142857143,2,6,0.8,f,Ward 77,Private room in rental unit,6.698268054115413
2,1.5,1.0,1.0,4.89,74,3,1.0,f,Ward 61,Entire rental unit,5.869296913133774
6,4.5,4.0,4.0,4.825714285714285,8,38,0.98,f,Ward 77,Entire home,9.883284845218608
3,1.0,1.0,2.0,4.977142857142858,19,2,1.0,t,Ward 100,Farm stay,6.322565239927284
2,1.0,1.0,1.0,4.571428571428571,3,10,1.0,t,Ward 115,Entire rental unit,6.841615476477592
2,1.0,1.0,1.0,4.714285714285714,2,3,1.0,f,Ward 62,Private room in home,6.985641817639208
2,1.0,1.0,1.0,4.952857142857143,3,2,1.0,f,Ward 115,Entire rental unit,6.698268054115413
2,1.0,0.0,1.0,5.0,3,1,1.0,f,Ward 115,Entire rental unit,7.00397413672268
2,1.0,1.0,1.0,4.525714285714285,9,83,0.9,f,Ward 77,Entire rental unit,7.6838639802564295
2,1.0,1.0,1.0,4.93,187,2,1.0,t,Ward 58,Entire cottage,6.633318433280377
4,1.0,2.0,3.0,4.824285714285714,22,3,0.9,f,Ward 61,Entire rental unit,7.208600337960199
2,0.5,1.0,1.0,5.0,2,3,1.0,f,Ward 61,Private room in home,6.317164686747284
2,1.0,1.0,1.0,4.887142857142857,136,7,1.0,t,Ward 113,Private room in bungalow,6.39024066706535
8,4.5,4.0,4.0,4.714285714285714,2,4,1.0,t,Ward 23,Entire home,8.537191877922927
2,1.0,1.0,1.0,4.774285714285715,7,1,1.0,f,Ward 115,Entire rental unit,6.559615237493242
4,1.0,2.0,3.0,4.524285714285715,6,1,1.0,f,Ward 83,Entire rental unit,6.695798917058491
4,2.0,2.0,2.0,4.681428571428571,8,3,1.0,t,Ward 115,Entire rental unit,7.846589975291186
4,2.0,2.0,2.0,4.817142857142857,57,11,1.0,t,Ward 115,Entire rental unit,7.483806687665835
2,1.0,1.0,1.0,4.93,32,2,1.0,t,Ward 54,Entire townhouse,7.584264818389059
1,2.0,1.0,1.0,5.0,5,2,1.0,f,Ward 54,Private room in rental unit,6.499787040655854
6,3.0,4.0,5.0,4.928571428571429,4,1,1.0,f,Ward 59,Entire home,8.612685172875459
6,2.0,4.0,4.0,4.652857142857143,7,2,1.0,f,Ward 77,Entire home,9.059633754551479
10,4.0,5.0,5.0,4.857142857142857,1,28,0.98,t,Ward 74,Entire villa,10.299878279368585
2,1.0,1.0,1.0,4.99,124,3,1.0,t,Ward 64,Private room in guest suite,6.516193076042964
8,3.0,4.0,4.0,4.977142857142858,13,6,1.0,f,Ward 74,Entire home,8.74623928838306
2,1.0,1.0,1.0,4.951428571428571,6,1,1.0,f,Ward 54,Entire rental unit,7.13966033596492
2,1.0,1.0,1.0,4.811428571428571,3,32,0.99,f,Ward 77,Entire rental unit,7.050122520269059
2,1.0,1.0,1.0,5.0,5,2,1.0,f,Ward 115,Entire rental unit,7.174724309836376
2,1.0,1.0,1.0,4.789999999999999,21,5,1.0,f,Ward 61,Private room in villa,6.805722553416985
10,4.0,5.0,6.0,4.905714285714287,3,181,0.99,f,Ward 54,Entire villa,9.574080300037034
2,1.0,0.0,1.0,4.89,14,47,0.99,t,Ward 54,Entire rental unit,7.506591780070841
1,1.0,1.0,1.0,4.828571428571429,10,1,1.0,f,Ward 57,Private room in rental unit,5.8888779583328805
4,2.0,2.0,2.0,4.977142857142858,12,49,0.98,t,Ward 54,Entire rental unit,8.117610746466228
2,1.0,0.0,1.0,4.864285714285714,24,1,1.0,f,Ward 58,Entire guest suite,6.398594934535208
4,1.0,1.0,3.0,4.931428571428571,72,1,1.0,t,Ward 70,Entire rental unit,6.621405651764134
2,1.5,1.0,1.0,4.751428571428572,171,1,0.7,f,Ward 57,Private room in condo,6.304448802421981
4,2.0,2.0,2.0,4.884285714285714,121,29,1.0,t,Ward 115,Entire condo,8.08886878916199
4,1.0,2.0,2.0,4.967142857142856,43,1,1.0,f,Ward 115,Entire rental unit,7.594381242551817
3,1.0,1.0,1.0,4.987142857142857,11,5,1.0,t,Ward 74,Entire rental unit,7.080867896690782
2,1.0,0.0,1.0,4.938571428571429,14,47,0.99,t,Ward 54,Entire rental unit,7.506591780070841
4,2.0,2.0,4.0,4.7542857142857144,28,4,0.33,f,Ward 55,Entire rental unit,7.538494999413465
2,1.0,0.0,1.0,4.714285714285714,1,42,1.0,f,Ward 115,Entire rental unit,7.43307534889858
2,1.0,1.0,1.0,4.821428571428571,23,3,0.8,t,Ward 54,Entire rental unit,6.85751406254539
4,1.0,2.0,2.0,4.714285714285714,1,2,1.0,t,Ward 107,Entire rental unit,6.803505257608338
2,2.0,1.0,1.0,4.862857142857143,28,1,1.0,t,Ward 109,Entire condo,6.985641817639208
4,1.0,2.0,0.0,4.25,32,74,0.89,f,Ward 115,Entire rental unit,6.77078942390898
2,1.5,1.0,1.0,3.761428571428571,3,1,1.0,f,Ward 55,Entire serviced apartment,7.273092595999522
2,1.0,1.0,1.0,4.692857142857143,14,1,1.0,t,Ward 115,Entire rental unit,6.715383386334681
6,2.0,2.0,3.0,4.922857142857143,39,1,1.0,f,Ward 100,Entire condo,6.928537818164665
2,1.0,1.0,1.0,4.812857142857142,40,14,1.0,t,Ward 54,Entire rental unit,6.928537818164665
2,1.0,1.0,1.0,4.840000000000001,100,40,1.0,f,Ward 115,Entire condo,6.90875477931522
2,1.5,1.0,1.0,4.978571428571428,78,2,1.0,t,Ward 112,Entire guest suite,6.580639137284949
4,2.0,2.0,2.0,4.928571428571429,4,1,0.9,t,Ward 64,Entire rental unit,7.9966538754626075
2,1.0,1.0,1.0,5.0,10,1,1.0,f,Ward 74,Entire rental unit,7.295735072749282
6,3.5,3.0,4.0,4.912857142857143,108,22,1.0,t,Ward 61,Entire home,8.156510226079966
3,2.0,2.0,2.0,4.845714285714286,11,11,1.0,t,Ward 54,Entire rental unit,8.271804031154709
2,1.0,1.0,1.0,4.6571428571428575,5,36,0.96,f,Ward 115,Entire rental unit,6.472346294500901
5,2.5,3.0,3.0,4.884285714285714,11,1,0.75,f,Ward 105,Entire home,7.601402334583733
2,1.0,1.0,1.0,4.887142857142857,18,1,1.0,t,Ward 74,Entire rental unit,6.9874902470009905
2,1.0,1.0,1.0,4.957142857142857,10,3,0.1,f,Ward 105,Entire rental unit,6.884486652042782
12,2.0,5.0,7.0,4.827142857142857,9,1,1.0,t,Ward 64,Entire home,8.61794309451638
6,3.0,3.0,3.0,4.954285714285715,32,6,1.0,t,Ward 54,Entire villa,7.3783837129967145
4,2.0,2.0,2.0,4.821428571428571,4,1,1.0,f,Ward 115,Entire rental unit,7.557472901614746
2,1.0,1.0,1.0,4.882857142857143,28,5,1.0,t,Ward 115,Entire rental unit,7.38770923908104
2,1.0,1.0,1.0,1.7142857142857142,1,160,1.0,f,Ward 115,Room in hotel,7.601402334583733
4,1.0,2.0,3.0,4.951428571428572,195,1,1.0,t,Ward 69,Entire guesthouse,6.682108597449809
1,0.5,1.0,1.0,5.0,2,7,0.55,f,Ward 2,Private room in cottage,6.171700597410915
3,1.0,2.0,2.0,4.884285714285714,28,1,1.0,t,Ward 58,Entire guest suite,7.2305631534092925
2,1.0,1.0,1.0,4.885714285714286,5,3,0.9,f,Ward 21,Entire guest suite,6.530877627725885
6,3.5,3.0,0.0,4.942857142857143,26,2,1.0,t,Ward 54,Entire rental unit,7.769378609513984
9,4.0,5.0,7.0,5.0,1,2,1.0,f,Ward 58,Entire home,8.575273402492762
2,1.0,1.0,1.0,5.0,1,19,1.0,t,Ward 55,Entire rental unit,7.039660349862076
6,2.0,3.0,4.0,4.588571428571428,26,1,1.0,f,Ward 58,Entire townhouse,7.773173680482536
4,2.0,2.0,2.0,4.404285714285714,6,9,1.0,f,Ward 55,Entire rental unit,7.402451520818244
4,2.0,2.0,2.0,4.525714285714286,55,19,0.98,f,Ward 55,Entire rental unit,6.878326468291325
2,1.0,1.0,1.0,5.0,1,5,1.0,f,Ward 1,Private room in guest suite,6.111467339502679
4,2.0,2.0,3.0,4.524285714285715,3,38,1.0,t,Ward 64,Entire serviced apartment,7.506591780070841
10,4.0,4.0,4.0,4.957142857142857,34,2,1.0,t,Ward 23,Entire villa,8.950921764797261
2,1.0,1.0,1.0,4.948571428571428,59,6,1.0,t,Ward 100,Room in boutique hotel,7.8636512654486515
2,1.0,1.0,1.0,4.932857142857142,29,1,1.0,t,Ward 54,Entire rental unit,7.492203042618741
4,1.0,2.0,2.0,4.642857142857143,12,1,1.0,f,Ward 54,Entire rental unit,8.055475141757274
8,4.5,4.0,5.0,4.747142857142857,21,2,1.0,f,Ward 69,Entire home,8.987321812850125
3,1.0,1.0,2.0,4.858571428571428,259,126,1.0,t,Ward 115,Entire rental unit,7.553286605600419
4,1.0,2.0,3.0,4.404285714285714,6,1,1.0,f,Ward 74,Entire rental unit,7.273092595999522
6,3.5,3.0,3.0,4.845714285714286,48,20,1.0,t,Ward 54,Entire condo,9.245514446983837
2,1.0,1.0,1.0,4.822857142857143,73,1,1.0,t,Ward 115,Entire rental unit,6.555356891810665
2,1.0,1.0,1.0,4.642857142857143,2,3,1.0,f,Ward 23,Entire guest suite,6.683360945766275
2,1.0,1.0,1.0,4.838571428571429,40,12,1.0,f,Ward 55,Entire rental unit,7.244941546337007
4,2.0,2.0,2.0,4.938571428571429,42,2,1.0,t,Ward 115,Entire home,7.854381210652365
2,1.0,1.0,1.0,4.865714285714286,146,8,1.0,f,Ward 54,Private room in villa,6.897704943128636
4,1.0,1.0,1.0,4.857142857142857,1,3,1.0,f,Ward 4,Entire guest suite,6.634633357861686
4,2.0,2.0,2.0,4.982857142857143,16,1,1.0,f,Ward 54,Entire rental unit,8.343077871169383
2,1.0,0.0,1.0,4.93,487,71,1.0,t,Ward 54,Entire rental unit,7.425953657077541
4,2.0,2.0,2.0,4.287142857142858,3,1,1.0,f,Ward 115,Entire rental unit,7.607381425639791
2,1.0,1.0,1.0,2.0,1,145,0.99,f,Ward 54,Entire rental unit,7.1180162044653335
4,2.0,2.0,2.0,4.711428571428571,37,1,1.0,f,Ward 115,Entire rental unit,7.57095858316901
1,1.0,1.0,1.0,1.5971428571428572,6,160,1.0,f,Ward 115,Room in hotel,6.300785794663244
3,1.0,1.0,2.0,4.928571428571429,2,10,1.0,t,Ward 55,Entire cottage,7.119635638017636
12,6.5,6.0,6.0,5.0,5,4,1.0,f,Ward 54,Entire villa,10.861764401077343
3,2.0,2.0,2.0,4.941428571428571,105,1,1.0,t,Ward 59,Entire rental unit,6.903747257584598
2,1.0,1.0,1.0,5.0,7,4,1.0,f,Ward 107,Entire rental unit,6.634633357861686
6,3.0,3.0,4.0,4.7942857142857145,25,17,0.98,t,Ward 54,Entire rental unit,9.002701007197938
2,1.5,1.0,1.0,4.734285714285714,8,7,1.0,t,Ward 83,Private room in guesthouse,6.7226297948554485
2,1.0,1.0,1.0,2.857142857142857,1,8,1.0,f,Ward 54,Entire guest suite,7.496097345175956
4,2.0,2.0,2.0,4.535714285714286,37,35,0.99,f,Ward 115,Entire rental unit,7.187657164114956
2,1.0,1.0,1.0,4.975714285714285,151,2,1.0,t,Ward 74,Entire guest suite,7.026426808699636
2,1.0,1.0,1.0,4.781428571428571,83,60,1.0,t,Ward 77,Entire guesthouse,7.61085279039525
8,4.5,4.0,6.0,4.714285714285714,2,52,1.0,t,Ward 62,Entire home,9.768412111339039
6,1.0,3.0,5.0,4.331428571428571,19,1,1.0,f,Ward 54,Entire rental unit,7.336285660021297
2,1.0,1.0,1.0,4.974285714285714,65,4,1.0,f,Ward 61,Private room in townhouse,6.285998094508865
8,3.0,4.0,7.0,4.142857142857143,2,2,1.0,f,Ward 59,Entire home,8.360773272144936
6,3.0,3.0,3.0,4.838571428571429,23,17,1.0,t,Ward 115,Entire home,8.294299608857235
4,2.5,2.0,3.0,4.9628571428571435,44,6,1.0,t,Ward 54,Entire condo,8.060855752934316
2,1.0,1.0,1.0,5.0,3,53,1.0,t,Ward 115,Entire rental unit,7.212294468500341
2,1.0,1.0,2.0,4.897142857142858,34,2,1.0,f,Ward 74,Entire cottage,7.914617709040679
4,1.0,2.0,2.0,5.0,2,1,0.91,f,Ward 56,Entire home,6.5998704992128365
2,1.0,1.0,1.0,4.987142857142857,35,1,1.0,t,Ward 61,Entire guest suite,6.860663671448287
3,1.0,2.0,2.0,4.477142857142857,44,1,1.0,f,Ward 54,Entire rental unit,7.489412083508719
4,2.0,2.0,2.0,4.977142857142858,44,3,1.0,t,Ward 23,Entire vacation home,7.783640596221253
2,1.0,1.0,1.0,4.9799999999999995,7,2,1.0,f,Ward 115,Entire rental unit,7.249215057114389
7,3.5,5.0,5.0,5.0,2,11,1.0,t,Ward 69,Entire home,8.38958706681109
4,1.0,1.0,1.0,4.857142857142857,1,6,1.0,f,Ward 74,Entire guesthouse,7.669028288589683
10,5.0,5.0,5.0,4.977142857142858,49,20,1.0,t,Ward 54,Entire villa,10.621010222237388
2,1.0,1.0,1.0,4.951428571428572,36,1,1.0,t,Ward 84,Entire guesthouse,7.1372784372603855
2,1.0,1.0,1.0,4.917142857142857,36,20,1.0,t,Ward 115,Entire rental unit,7.313886831633462
3,2.0,2.0,2.0,4.857142857142857,5,2,1.0,t,Ward 54,Entire condo,8.119398589612294
2,0.0,0.0,1.0,4.934285714285714,32,1,1.0,t,Ward 62,Entire rental unit,6.595780513961311
4,1.0,2.0,3.0,4.931428571428571,8,4,1.0,f,Ward 23,Entire condo,7.77779262633883
2,1.0,1.0,1.0,4.8742857142857146,93,1,1.0,t,Ward 107,Entire rental unit,6.306275286948016
2,1.0,0.0,1.0,4.428571428571429,4,47,0.99,t,Ward 54,Entire rental unit,7.395721608602045
2,1.0,1.0,1.0,5.0,3,20,1.0,t,Ward 115,Entire rental unit,8.448271745949816
2,1.0,1.0,1.0,4.578571428571428,24,25,1.0,f,Ward 115,Entire rental unit,6.672032945461067
2,1.0,1.0,1.0,4.918571428571428,228,1,1.0,t,Ward 58,Entire guest suite,6.331501849893691
4,1.0,2.0,3.0,4.807142857142857,6,2,1.0,f,Ward 113,Entire home,7.119635638017636
2,1.0,1.0,1.0,4.614285714285714,14,3,0.86,f,Ward 54,Entire rental unit,6.907755278982137
2,1.0,1.0,1.0,4.942857142857143,5,3,1.0,f,Ward 15,Private room in guesthouse,7.3783837129967145
4,2.5,2.0,2.0,4.808571428571429,6,10,1.0,t,Ward 64,Entire townhouse,8.692322277628687
4,1.0,3.0,3.0,5.0,2,2,1.0,t,Ward 74,Entire home,7.208600337960199
10,6.5,5.0,1.0,5.0,1,3,1.0,t,Ward 62,Entire home,10.596659732783579
6,3.5,4.0,4.0,4.961428571428572,15,1,1.0,f,Ward 59,Entire home,8.507344855361422
3,1.0,1.0,2.0,4.484285714285714,79,1,1.0,f,Ward 115,Entire rental unit,6.814542897259958
2,1.0,1.0,1.0,4.875714285714286,191,3,1.0,t,Ward 115,Entire loft,7.333676395657684
2,1.0,1.0,2.0,4.954285714285715,12,2,1.0,f,Ward 112,Entire guest suite,6.375024819828097
2,1.0,1.0,1.0,4.757142857142857,10,1,1.0,f,Ward 77,Entire rental unit,6.698268054115413
2,1.0,1.0,2.0,4.928571428571429,10,5,1.0,t,Ward 107,Entire rental unit,6.508769136971682
8,3.0,4.0,4.0,4.781428571428571,11,2,0.9,f,Ward 61,Entire home,8.109826276018477
2,1.0,1.0,0.0,4.732857142857143,7,2,1.0,f,Ward 64,Entire rental unit,7.065613363597717
2,1.0,1.0,1.0,4.952857142857143,3,22,1.0,t,Ward 54,Entire rental unit,7.313886831633462
2,1.0,1.0,1.0,4.982857142857143,25,2,1.0,t,Ward 74,Entire cottage,7.088408778675395
2,1.0,1.0,1.0,4.852857142857142,82,60,1.0,t,Ward 77,Entire rental unit,7.293017679772782
2,1.0,1.0,1.0,4.848571428571428,19,1,1.0,f,Ward 107,Entire rental unit,6.620073206530356
2,1.0,1.0,1.0,4.428571428571429,7,83,0.9,f,Ward 115,Entire rental unit,7.469654172932128
2,1.0,1.0,1.0,4.5,2,1,1.0,f,Ward 11,Entire rental unit,6.54965074223381
2,1.0,1.0,1.0,4.912857142857143,86,2,0.9,t,Ward 74,Entire guesthouse,6.952728644624869
6,3.0,3.0,3.0,4.841428571428572,8,181,0.99,f,Ward 54,Entire rental unit,9.251002353695073
4,1.0,2.0,2.0,4.855714285714285,15,2,1.0,t,Ward 54,Entire condo,8.494743062578646
3,1.0,2.0,2.0,4.841428571428572,26,1,1.0,t,Ward 115,Entire condo,7.418180822726788
4,2.0,2.0,0.0,5.0,1,74,0.89,f,Ward 115,Entire rental unit,6.911747300251674
4,2.0,3.0,0.0,4.971428571428571,5,1,1.0,t,Ward 55,Entire rental unit,7.804251383528112
4,2.0,2.0,2.0,4.94,108,1,1.0,t,Ward 71,Private room in home,6.111467339502679
2,1.0,1.0,2.0,4.831428571428572,28,3,1.0,t,Ward 61,Private room in home,6.284134161070802
2,1.0,1.0,1.0,4.771428571428571,5,1,1.0,f,Ward 64,Entire rental unit,6.85751406254539
2,1.0,1.0,2.0,4.905714285714287,3,6,1.0,f,Ward 115,Private room in guesthouse,6.55250788703459
2,1.0,1.0,1.0,4.928571428571429,12,1,0.9,f,Ward 55,Entire guest suite,6.481577129276431
2,1.0,1.0,1.0,4.851428571428571,67,1,1.0,t,Ward 7,Entire rental unit,6.967909201801884
2,1.0,1.0,1.0,4.978571428571429,32,1,1.0,t,Ward 115,Entire rental unit,6.970730078143525
2,1.0,1.0,1.0,4.964285714285714,31,1,1.0,t,Ward 74,Entire cottage,6.940222469119639
2,1.0,0.0,1.0,5.0,4,1,1.0,f,Ward 115,Entire rental unit,7.466227556215481
2,1.0,1.0,1.0,4.952857142857143,3,10,1.0,f,Ward 23,Entire condo,6.7464121285733745
2,1.0,1.0,1.0,4.875714285714286,37,7,1.0,t,Ward 115,Entire rental unit,7.22402480828583
2,1.0,1.0,1.0,4.285714285714286,4,30,1.0,f,Ward 115,Entire rental unit,7.575584651557793
4,2.0,2.0,2.0,5.0,2,38,0.98,t,Ward 107,Entire rental unit,7.818027938530729
2,1.0,1.0,3.0,4.937142857142858,25,2,1.0,t,Ward 77,Entire guest suite,6.695798917058491
2,1.0,1.0,1.0,4.6000000000000005,5,2,1.0,f,Ward 54,Entire rental unit,6.984716320118266
8,2.0,3.0,5.0,4.857142857142857,1,1,1.0,f,Ward 23,Entire home,8.006700845440367
2,1.0,0.0,1.0,4.647142857142858,42,16,1.0,t,Ward 115,Entire condo,6.688354713946762
2,1.0,1.0,1.0,4.782857142857142,53,70,1.0,t,Ward 115,Entire rental unit,7.550135342488429
6,2.0,3.0,3.0,4.631428571428572,14,1,1.0,f,Ward 100,Entire bungalow,7.669495251007694
2,1.0,1.0,1.0,4.522857142857142,6,145,0.99,f,Ward 115,Entire rental unit,7.00850518208228
6,2.0,3.0,3.0,4.96,7,45,0.98,t,Ward 54,Entire home,9.105090961257085
6,1.0,3.0,0.0,3.6000000000000005,5,1,1.0,f,Ward 77,Entire rental unit,7.453561871643373
2,1.0,1.0,1.0,4.327142857142857,7,25,1.0,f,Ward 21,Entire rental unit,6.516193076042964
4,2.0,2.0,2.0,4.868571428571428,29,70,1.0,t,Ward 115,Entire rental unit,8.035602692918582
2,1.0,1.0,1.0,5.0,1,6,1.0,f,Ward 54,Room in boutique hotel,8.160803920954665
6,4.0,3.0,3.0,4.877142857142857,97,3,1.0,t,Ward 54,Entire home,8.699681400989514
6,3.0,3.0,3.0,4.977142857142858,26,38,0.98,t,Ward 23,Entire rental unit,8.653645314551737
2,1.5,1.0,1.0,4.871428571428572,86,2,1.0,t,Ward 115,Entire rental unit,7.824445930877619
4,2.0,2.0,2.0,4.5,2,1,1.0,f,Ward 115,Entire rental unit,7.994969522697877
2,1.0,1.0,1.0,4.921428571428571,41,2,0.83,t,Ward 59,Entire guesthouse,6.879355804460439
4,2.0,2.0,3.0,4.914285714285714,130,1,1.0,t,Ward 54,Entire rental unit,9.018574356354229
4,1.0,2.0,3.0,5.0,1,2,1.0,f,Ward 64,Entire home,6.985641817639208
2,1.0,0.0,1.0,4.49,27,1,0.6,f,Ward 59,Entire rental unit,6.411818267709897
3,1.0,1.0,2.0,4.845714285714286,248,7,1.0,t,Ward 115,Entire rental unit,7.05444965813294
2,1.0,1.0,1.0,4.8,134,9,1.0,t,Ward 77,Entire rental unit,6.912742820493176
4,2.0,2.0,3.0,4.547142857142857,14,94,1.0,f,Ward 107,Entire rental unit,7.57198844937744
2,1.0,2.0,1.0,4.89,63,2,1.0,t,Ward 77,Private room in home,6.62273632394984
3,1.0,2.0,2.0,4.831428571428572,29,2,0.9,t,Ward 62,Entire rental unit,7.496097345175956
2,1.0,1.0,1.0,4.9,85,7,1.0,t,Ward 23,Entire rental unit,7.039660349862076
6,2.0,3.0,4.0,5.0,1,1,1.0,f,Ward 107,Entire home,7.313886831633462
2,1.0,2.0,2.0,4.642857142857143,6,1,1.0,f,Ward 22,Entire rental unit,6.261491684321042
4,2.5,2.0,2.0,4.888571428571429,18,17,1.0,t,Ward 77,Entire home,7.937731775260109
2,1.0,1.0,1.0,4.8100000000000005,12,23,1.0,f,Ward 115,Entire rental unit,6.919683849847411
2,1.0,1.0,2.0,4.8742857142857146,9,8,1.0,f,Ward 53,Entire rental unit,6.752270376141742
6,3.0,3.0,2.0,5.0,2,19,0.86,f,Ward 77,Entire home,8.4096079807363
2,1.0,1.0,1.0,4.775714285714286,31,14,1.0,t,Ward 54,Entire rental unit,7.295735072749282
4,2.0,2.0,4.0,4.925714285714286,165,2,1.0,t,Ward 58,Entire home,6.54965074223381
2,1.0,1.0,1.0,4.954285714285715,39,1,0.89,t,Ward 8,Entire guest suite,6.516193076042964
4,2.0,2.0,3.0,4.851428571428571,52,1,0.9,f,Ward 115,Entire condo,7.527793987721444
4,1.0,2.0,2.0,3.0,1,7,1.0,f,Ward 74,Entire guesthouse,7.13966033596492
4,1.0,2.0,2.0,4.691428571428572,236,1,0.8,f,Ward 54,Entire rental unit,7.491087593534876
3,1.0,2.0,2.0,4.755714285714285,31,1,1.0,f,Ward 74,Entire rental unit,7.270312886079025
4,2.0,2.0,3.0,4.938571428571429,19,1,1.0,f,Ward 54,Entire rental unit,8.287025025165063
2,1.0,1.0,1.0,4.855714285714286,195,1,1.0,t,Ward 115,Entire condo,6.807934943699926
2,1.0,1.0,1.0,4.8100000000000005,3,1,1.0,t,Ward 54,Entire rental unit,7.050989447068045
16,14.0,12.0,15.0,5.0,2,21,0.97,t,Ward 54,Entire villa,10.593078416893297
5,2.5,2.0,4.0,4.844285714285715,125,1,1.0,t,Ward 54,Entire rental unit,8.006700845440367
8,2.5,4.0,5.0,4.858571428571429,11,1,1.0,f,Ward 58,Entire home,8.888894669371593
1,1.0,1.0,1.0,4.927142857142856,84,2,1.0,t,Ward 115,Private room in condo,6.3835066348840055
6,2.0,3.0,3.0,5.0,1,1,1.0,f,Ward 70,Entire home,8.03947991910045
6,3.0,3.0,4.0,5.0,1,3,1.0,f,Ward 23,Entire home,7.523481312573497
2,1.0,1.0,1.0,4.9399999999999995,7,1,1.0,f,Ward 54,Entire condo,7.613818684808629
4,2.0,2.0,0.0,4.5,4,1,1.0,f,Ward 115,Entire rental unit,7.832014180505469
1,1.0,1.0,1.0,4.785714285714286,2,5,1.0,f,Ward 107,Private room in guesthouse,6.55250788703459
2,1.0,1.0,1.0,4.928571428571429,6,18,0.99,f,Ward 115,Entire rental unit,8.087640287778983
2,1.0,1.0,1.0,4.781428571428571,33,23,1.0,f,Ward 115,Entire rental unit,6.86484777797086
7,2.0,4.0,5.0,4.928571428571429,6,1,1.0,f,Ward 59,Entire home,8.556606193773073
6,2.0,3.0,4.0,4.62,9,1,1.0,f,Ward 63,Entire home,7.303843225277705
2,1.0,1.0,1.0,4.895714285714285,64,1,0.6,f,Ward 77,Entire guest suite,6.729824070489475
2,1.0,1.0,2.0,4.904285714285714,30,18,1.0,t,Ward 115,Entire rental unit,7.208600337960199
2,1.0,1.0,1.0,4.8585714285714285,7,1,1.0,f,Ward 115,Entire rental unit,7.1785454837637
4,2.5,2.0,2.0,4.885714285714286,5,2,1.0,f,Ward 64,Entire home,7.257707677160043
2,1.0,1.0,1.0,4.904285714285714,32,76,1.0,t,Ward 115,Entire rental unit,6.85751406254539
2,1.0,1.0,1.0,4.864285714285714,159,126,1.0,t,Ward 115,Entire rental unit,7.616775808698373
4,1.5,2.0,2.0,4.922857142857143,11,1,1.0,f,Ward 107,Entire rental unit,7.246368080102461
2,1.0,1.0,1.0,4.908571428571428,50,3,1.0,t,Ward 67,Entire guest suite,6.373319789577012
4,2.0,2.0,2.0,4.832857142857144,53,9,1.0,t,Ward 107,Entire rental unit,7.1308988302963465
4,2.0,2.0,2.0,4.988571428571428,27,13,0.99,t,Ward 23,Entire rental unit,7.3777589082278725
6,3.5,3.0,3.0,4.715714285714285,3,2,1.0,f,Ward 115,Entire villa,8.502891406705377
2,1.0,1.0,1.0,4.5928571428571425,20,145,0.99,f,Ward 115,Entire rental unit,7.107425474110705
2,1.0,0.0,1.0,4.428571428571429,10,11,1.0,f,Ward 54,Entire rental unit,7.413970290190444
8,4.0,4.0,3.0,5.0,1,1,1.0,f,Ward 54,Entire home,9.249657234353133
2,1.0,1.0,1.0,4.7542857142857144,7,16,1.0,f,Ward 83,Entire rental unit,7.292337176173877
4,2.5,2.0,2.0,4.942857142857143,5,1,1.0,f,Ward 74,Entire home,7.719129840906732
2,1.0,1.0,1.0,4.7700000000000005,28,1,1.0,t,Ward 57,Entire rental unit,6.71901315438526
2,1.0,1.0,1.0,4.851428571428571,203,28,0.91,f,Ward 115,Entire rental unit,6.803505257608338
3,1.0,2.0,2.0,4.857142857142857,2,1,1.0,f,Ward 104,Entire rental unit,7.550135342488429
2,1.0,1.0,1.0,4.967142857142856,29,1,1.0,t,Ward 115,Entire rental unit,7.19668657083435
4,2.0,2.0,2.0,4.712857142857142,3,1,1.0,f,Ward 115,Entire home,7.7752758464868625
3,1.0,2.0,2.0,4.6000000000000005,10,1,1.0,f,Ward 115,Entire rental unit,7.417580402414544
4,1.0,2.0,3.0,4.715714285714285,7,1,1.0,f,Ward 62,Entire rental unit,6.70196036600254
8,4.0,4.0,4.0,5.0,2,181,0.99,f,Ward 54,Entire villa,9.33326571881348
1,1.0,1.0,1.0,4.93,221,3,1.0,t,Ward 15,Entire rental unit,5.963579343618446
4,1.0,2.0,3.0,4.932857142857143,200,2,1.0,t,Ward 54,Entire rental unit,7.628031126930335
2,1.0,1.0,1.0,5.0,3,3,1.0,f,Ward 23,Private room in home,6.90875477931522
