accommodates,bathrooms,bedrooms,beds,avg_rating,calculated_host_listings_count,host_response_rate,avg_price,minimum_nights,availability_rate,days_since_last_review,number_of_reviews,host_is_superhost,neighbourhood_cleansed,property_type,occupancy
4,1.0,1.0,3.0,4.635714285714285,5,1.0,1300.0,1,0.7506849315068493,31.0,32,f,Ward 115,Private room in hostel,66
2,1.0,1.0,1.0,4.887142857142857,1,1.0,820.0,2,0.9315068493150684,66.0,16,f,Ward 84,Tiny home,30
2,1.0,1.0,1.0,4.514285714285714,1,1.0,1400.0,2,0.9232876712328767,31.0,5,f,Ward 115,Entire rental unit,12
4,2.0,2.0,3.0,5.0,1,1.0,1900.0,2,0.24383561643835616,359.0,1,f,Ward 55,Entire serviced apartment,6
5,2.0,2.0,4.0,4.762857142857143,2,1.0,3600.0,3,0.07671232876712329,18.0,3,t,Ward 59,Entire home,18
2,1.0,1.0,1.0,5.0,3,1.0,950.0,1,0.5863013698630137,137.0,1,f,Ward 84,Entire serviced apartment,6
4,2.0,2.0,3.0,4.922857142857143,2,1.0,2200.0,2,0.6465753424657534,17.0,63,t,Ward 61,Entire condo,138
4,1.0,1.0,2.0,4.884285714285714,1,1.0,1600.0,2,0.4328767123287671,10.0,11,f,Ward 74,Entire home,66
4,2.0,2.0,3.0,4.922857142857142,1,1.0,2300.0,2,0.9397260273972603,30.0,29,t,Ward 64,Entire rental unit,174
2,1.0,1.0,1.0,4.374285714285714,1,1.0,1400.0,2,0.4821917808219178,75.0,11,f,Ward 115,Entire rental unit,42
2,1.0,1.0,1.0,5.0,42,0.99,905.0,1,1.0,48.0,1,t,Ward 115,Entire rental unit,6
4,2.0,2.0,2.0,4.951428571428571,1,1.0,3000.0,3,0.9178082191780822,8.0,22,t,Ward 74,Entire home,72
2,1.0,1.0,1.0,4.805714285714286,101,1.0,1540.0,2,0.8575342465753425,5.0,50,f,Ward 54,Entire rental unit,240
6,2.5,3.0,3.0,4.964285714285714,2,0.92,11500.0,3,0.9780821917808219,65.0,4,t,Ward 54,Entire home,6
4,2.0,2.0,2.0,4.868571428571429,60,1.0,5900.0,3,0.8794520547945206,5.0,127,t,Ward 54,Entire condo,204
10,5.0,5.0,5.0,4.692857142857143,181,0.99,15000.0,4,0.6164383561643836,3.0,19,f,Ward 54,Entire villa,32
2,1.0,1.0,1.0,4.802857142857143,2,1.0,2250.0,2,0.7397260273972602,15.0,45,f,Ward 115,Entire rental unit,72
1,1.5,1.0,1.0,4.8914285714285715,1,1.0,301.0,2,0.8082191780821918,67.0,63,f,Ward 62,Entire townhouse,42
7,2.5,3.0,4.0,4.808571428571428,1,1.0,1396.0,6,0.473972602739726,74.0,12,f,Ward 64,Entire home,24
3,1.0,1.0,2.0,4.838571428571428,1,1.0,300.0,2,0.20273972602739726,46.0,94,f,Ward 57,Entire guest suite,78
4,1.5,2.0,2.0,4.88,5,1.0,3750.0,2,0.547945205479452,18.0,12,t,Ward 74,Entire home,60
4,2.0,2.0,3.0,4.855714285714285,6,1.0,2100.0,1,0.40273972602739727,189.0,6,t,Ward 58,Entire rental unit,12
4,2.0,2.0,3.0,4.971428571428571,1,1.0,2900.0,2,0.9397260273972603,67.0,5,f,Ward 100,Entire home,12
2,1.0,1.0,1.0,4.890000000000001,1,1.0,900.0,3,0.8191780821917808,81.0,31,t,Ward 54,Entire rental unit,48
6,2.0,3.0,4.0,4.972857142857143,1,1.0,1500.0,4,0.4657534246575342,10.0,138,t,Ward 64,Entire cottage,136
4,2.0,2.0,2.0,4.384285714285714,145,0.99,2368.0,1,0.8986301369863013,45.0,19,f,Ward 115,Entire rental unit,42
2,1.0,1.0,1.0,4.950000000000001,1,1.0,1325.0,2,0.4986301369863014,20.0,103,t,Ward 54,Entire rental unit,255
6,1.5,3.0,3.0,4.764285714285714,1,1.0,1500.0,3,0.663013698630137,23.0,29,f,Ward 57,Entire home,72
4,2.0,2.0,2.0,4.942857142857143,1,1.0,1660.0,2,0.38082191780821917,11.0,48,t,Ward 115,Entire rental unit,138
2,0.0,1.0,1.0,4.609999999999999,8,1.0,1400.0,1,0.5972602739726027,76.0,8,f,Ward 23,Private room in guesthouse,48
6,3.0,3.0,3.0,4.557142857142857,181,0.99,8000.0,1,0.0547945205479452,26.0,38,f,Ward 77,Entire rental unit,120
2,1.5,1.0,1.0,4.608571428571429,5,0.98,400.0,1,0.2136986301369863,14.0,190,f,Ward 10,Private room in home,255
1,1.0,1.0,1.0,4.571428571428571,3,1.0,1300.0,1,0.7397260273972602,78.0,1,t,Ward 115,Private room in guesthouse,6
6,2.0,2.0,6.0,4.839999999999999,1,1.0,1500.0,2,0.5150684931506849,144.0,25,t,Ward 64,Entire home,12
2,1.0,1.0,1.0,5.0,3,1.0,2200.0,1,0.7452054794520548,40.0,8,f,Ward 64,Private room in guesthouse,12
1,1.0,1.0,1.0,4.714285714285714,1,0.6,385.0,3,0.23013698630136986,7.0,21,f,Ward 64,Private room in home,24
6,2.5,3.0,3.0,4.927142857142857,2,1.0,300.0,4,0.29863013698630136,405.0,6,f,Ward 58,Entire home,0
2,1.0,0.0,1.0,4.658571428571428,1,1.0,1900.0,2,0.25205479452054796,17.0,37,f,Ward 115,Entire rental unit,90
4,2.0,2.0,2.0,4.722857142857143,3,1.0,1400.0,3,0.1643835616438356,14.0,68,t,Ward 115,Entire rental unit,156
4,2.5,2.0,2.0,5.0,1,1.0,5250.0,1,0.4767123287671233,38.0,2,f,Ward 100,Entire home,12
2,1.0,1.0,1.0,4.965714285714286,1,1.0,850.0,6,0.8524590163934426,10.0,13,t,Ward 73,Entire guesthouse,108
2,1.0,1.0,1.0,4.731428571428571,1,1.0,65.0,2,0.3643835616438356,23.0,9,t,Ward 54,Entire rental unit,30
5,2.0,2.0,4.0,4.921428571428572,2,1.0,2200.0,2,0.20821917808219179,31.0,42,t,Ward 23,Entire cottage,72
4,2.0,2.0,2.0,4.785714285714286,21,1.0,5258.0,2,0.863013698630137,75.0,4,f,Ward 54,Entire rental unit,12
2,1.0,1.0,1.0,4.872857142857143,11,1.0,665.0,2,0.8547945205479452,77.0,29,t,Ward 55,Private room in home,18
3,1.5,1.0,4.0,4.744285714285714,1,0.67,1000.0,3,0.9315068493150684,21.0,22,f,Ward 113,Entire cottage,24
8,3.5,5.0,5.0,5.0,2,1.0,6000.0,3,0.0,434.0,1,t,Ward 23,Entire home,0
5,1.5,2.0,3.0,4.867142857142857,16,1.0,1950.0,3,0.8,28.0,16,t,Ward 64,Entire home,90
4,1.0,2.0,2.0,4.971428571428571,5,1.0,1200.0,2,0.39452054794520547,16.0,10,f,Ward 77,Entire rental unit,60
10,5.5,5.0,5.0,4.944285714285714,18,1.0,12000.0,1,0.4465753424657534,19.0,26,f,Ward 54,Entire villa,156
2,8.0,8.0,8.0,4.717142857142858,1,0.9,1250.0,2,0.4849315068493151,29.0,3,f,Ward 59,Entire condo,18
2,1.0,1.0,1.0,4.925714285714286,1,1.0,1100.0,1,0.8438356164383561,14.0,216,t,Ward 61,Entire rental unit,255
2,1.0,0.0,1.0,4.912857142857143,2,1.0,856.0,2,0.673972602739726,41.0,54,t,Ward 69,Entire rental unit,24
4,2.0,2.0,3.0,5.0,7,1.0,3150.0,2,0.5753424657534246,76.0,2,t,Ward 74,Entire cabin,12
9,3.5,4.0,6.0,4.967142857142858,1,1.0,2500.0,5,0.8712328767123287,16.0,13,t,Ward 64,Entire home,40
4,1.0,2.0,2.0,4.88,2,1.0,1900.0,1,0.684931506849315,2.0,57,t,Ward 71,Entire rental unit,66
2,1.0,1.0,1.0,4.355714285714285,4,0.9,1035.0,2,0.44931506849315067,70.0,6,f,Ward 55,Entire rental unit,12
4,2.0,2.0,2.0,4.52,49,0.98,3850.0,2,0.9698630136986301,140.0,8,t,Ward 54,Entire rental unit,48
4,2.0,2.0,3.0,4.95,2,1.0,1200.0,4,0.9972602739726028,76.0,14,f,Ward 62,Entire cottage,32
2,1.0,0.0,1.0,4.305714285714286,74,0.89,850.0,1,0.2,16.0,44,f,Ward 115,Entire rental unit,168
2,1.0,1.0,1.0,4.922857142857144,1,1.0,620.0,4,0.2958904109589041,8.0,86,t,Ward 61,Entire guest suite,136
4,1.0,2.0,2.0,4.548571428571429,1,1.0,1300.0,5,0.8547945205479452,9.0,30,f,Ward 54,Entire rental unit,110
2,1.0,1.0,1.0,3.142857142857143,145,0.99,1795.0,1,0.9315068493150684,350.0,4,f,Ward 54,Entire rental unit,18
4,2.0,2.0,2.0,4.627142857142857,1,1.0,8000.0,1,0.9068493150684932,37.0,18,f,Ward 115,Entire rental unit,6
2,1.0,1.0,1.0,4.887142857142856,9,0.9,3800.0,3,0.915068493150685,8.0,86,t,Ward 74,Private room in home,228
2,1.0,1.0,1.0,4.965714285714285,2,1.0,1400.0,3,0.3972602739726027,41.0,29,t,Ward 115,Entire rental unit,42
1,1.0,1.0,1.0,4.882857142857143,3,1.0,350.0,2,0.5519125683060109,139.0,83,t,Ward 27,Entire guest suite,18
4,2.0,2.0,2.0,4.785714285714286,51,1.0,1631.0,2,0.915068493150685,73.0,42,t,Ward 115,Entire rental unit,150
5,2.0,2.0,2.0,4.867142857142858,4,1.0,935.0,1,0.273972602739726,18.0,13,f,Ward 70,Entire rental unit,78
2,1.0,2.0,1.0,4.887142857142857,5,1.0,1327.0,3,0.8602739726027397,9.0,130,t,Ward 54,Entire rental unit,156
2,1.0,1.0,1.0,4.7128571428571435,1,1.0,2150.0,1,0.9013698630136986,25.0,19,t,Ward 54,Entire rental unit,114
4,1.5,2.0,3.0,5.0,7,1.0,1450.0,1,0.9178082191780822,98.0,2,t,Ward 105,Private room in guesthouse,12
2,1.0,1.0,1.0,3.8085714285714283,49,0.97,995.0,1,0.7506849315068493,455.0,3,f,Ward 115,Room in boutique hotel,0
2,1.5,0.0,1.0,4.142857142857143,5,1.0,1000.0,1,0.4904109589041096,772.0,1,f,Ward 23,Private room in guest suite,0
6,3.0,3.0,3.0,4.548571428571429,70,0.99,8913.0,1,0.863013698630137,45.0,6,t,Ward 54,Entire home,36
3,1.0,2.0,2.0,4.851428571428571,1,1.0,800.0,3,0.936986301369863,9.0,95,t,Ward 74,Entire rental unit,114
4,2.0,2.0,2.0,5.0,2,0.5,4000.0,3,0.043835616438356165,388.0,1,f,Ward 77,Entire rental unit,0
2,1.0,1.0,1.0,4.75,3,1.0,2500.0,1,1.0,42.0,20,t,Ward 61,Room in bed and breakfast,18
2,1.0,1.0,1.0,4.981428571428572,2,1.0,1800.0,2,0.5041095890410959,1.0,62,t,Ward 74,Tiny home,255
3,1.0,1.0,1.0,4.781428571428571,3,1.0,122.0,3,0.5260273972602739,32.0,86,t,Ward 54,Entire rental unit,138
3,1.0,1.0,1.0,4.974285714285714,6,1.0,1650.0,1,0.6904109589041096,183.0,18,t,Ward 62,Entire rental unit,6
2,1.0,1.0,2.0,4.742857142857143,2,1.0,326.0,3,0.9616438356164384,3.0,20,t,Ward 115,Entire rental unit,36
4,2.0,2.0,2.0,4.527142857142858,3,1.0,5520.0,2,0.0,75.0,13,f,Ward 54,Entire rental unit,72
2,1.0,1.0,0.0,4.762857142857143,108,0.97,1400.0,2,0.7506849315068493,59.0,3,f,Ward 54,Entire rental unit,18
2,1.0,1.0,1.0,5.0,2,1.0,1400.0,2,0.7041095890410959,375.0,6,t,Ward 61,Entire cottage,0
2,1.0,2.0,2.0,4.892857142857143,1,1.0,1200.0,1,0.9671232876712329,3.0,4,f,Ward 15,Entire rental unit,24
2,1.0,1.0,1.0,4.642857142857143,2,1.0,300.0,1,0.9068493150684932,31.0,75,f,Ward 61,Private room in guesthouse,132
4,2.0,2.0,2.0,4.627142857142857,23,1.0,6500.0,3,0.9945205479452055,122.0,15,f,Ward 115,Entire rental unit,18
2,1.0,0.0,1.0,4.741428571428572,1,1.0,800.0,2,0.18356164383561643,27.0,51,t,Ward 115,Entire condo,54
4,2.0,2.0,2.0,4.905714285714287,20,1.0,4000.0,3,0.8164383561643835,9.0,103,t,Ward 115,Entire condo,144
4,2.0,1.0,2.0,4.394285714285714,3,1.0,450.0,1,1.0,863.0,8,f,Ward 94,Private room in bed and breakfast,0
4,1.5,2.0,3.0,4.771428571428571,7,0.94,2000.0,2,0.852054794520548,3.0,36,f,Ward 61,Entire home,84
2,0.5,1.0,2.0,5.0,2,1.0,980.0,1,0.736986301369863,143.0,5,t,Ward 23,Private room in guest suite,6
1,1.0,1.0,1.0,4.8999999999999995,2,1.0,750.0,3,0.4410958904109589,31.0,14,t,Ward 77,Entire rental unit,60
2,1.0,1.0,1.0,4.872857142857143,1,1.0,700.0,2,0.9835616438356164,2.0,39,t,Ward 59,Entire guest suite,72
2,1.0,1.0,1.0,4.785714285714286,4,0.89,1600.0,1,0.547945205479452,1130.0,2,f,Ward 4,Private room in villa,0
2,1.0,1.0,1.0,4.912857142857143,2,1.0,45.0,7,0.9424657534246575,34.0,78,t,Ward 77,Entire rental unit,42
4,1.0,1.0,3.0,4.785714285714286,1,0.9,1200.0,1,0.9972602739726028,16.0,18,f,Ward 64,Entire rental unit,48
8,3.0,4.0,6.0,4.691428571428572,6,1.0,300.0,5,0.7643835616438356,61.0,6,t,Ward 74,Entire home,60
3,1.0,2.0,2.0,4.97,1,1.0,1150.0,4,0.5643835616438356,73.0,14,t,Ward 107,Entire rental unit,112
2,1.0,1.0,1.0,5.0,1,0.75,330.0,2,0.9452054794520548,595.0,2,f,Ward 2,Private room in condo,0
2,1.0,1.0,1.0,4.967142857142856,1,1.0,750.0,2,0.8602739726027397,13.0,44,t,Ward 23,Entire rental unit,144
3,1.0,2.0,2.0,4.8100000000000005,2,1.0,950.0,3,0.9424657534246575,4.0,18,t,Ward 64,Entire rental unit,48
4,3.0,2.0,3.0,4.807142857142857,2,1.0,5000.0,5,0.043835616438356165,3.0,26,t,Ward 115,Entire rental unit,70
6,2.0,3.0,3.0,4.92,2,1.0,3000.0,2,0.6876712328767123,21.0,57,t,Ward 23,Entire rental unit,78
2,1.0,1.0,1.0,4.76,2,1.0,850.0,5,0.7315068493150685,50.0,74,f,Ward 54,Private room in guest suite,10
6,2.5,3.0,4.0,4.8585714285714285,23,0.98,2128.0,3,0.37534246575342467,17.0,34,t,Ward 85,Entire rental unit,150
10,4.0,5.0,5.0,4.942857142857143,2,0.9,4250.0,2,0.5945205479452055,76.0,5,t,Ward 74,Entire home,18
8,0.5,4.0,7.0,4.827142857142857,1,1.0,5000.0,5,0.11506849315068493,82.0,22,f,Ward 58,Entire home,10
7,3.5,3.0,4.0,4.001428571428571,7,1.0,3500.0,5,0.14246575342465753,76.0,3,t,Ward 23,Entire home,20
2,1.0,1.0,1.0,5.0,4,1.0,2057.0,1,0.9205479452054794,79.0,1,t,Ward 15,Private room in guesthouse,6
4,2.0,2.0,2.0,4.967142857142856,1,1.0,2800.0,3,0.6904109589041096,9.0,29,t,Ward 74,Entire home,150
2,1.0,1.0,1.0,4.765714285714286,37,1.0,970.0,1,0.9178082191780822,14.0,17,f,Ward 115,Entire rental unit,102
2,1.0,1.0,2.0,4.924285714285714,4,1.0,650.0,2,0.6520547945205479,18.0,59,t,Ward 21,Entire guest suite,60
2,1.0,1.0,1.0,5.0,1,1.0,600.0,1,0.7589041095890411,102.0,1,f,Ward 102,Private room in home,6
2,1.0,1.0,1.0,4.864285714285714,126,1.0,1180.0,2,0.6684931506849315,12.0,128,t,Ward 115,Entire condo,255
2,1.0,1.0,1.0,4.874285714285714,126,1.0,1180.0,2,0.9095890410958904,5.0,88,t,Ward 115,Entire condo,174
6,3.5,3.0,5.0,5.0,1,1.0,3626.0,1,0.32602739726027397,145.0,6,t,Ward 23,Entire home,12
2,1.0,1.0,1.0,4.928571428571429,3,1.0,750.0,2,0.9698630136986301,5.0,2,f,Ward 112,Entire rental unit,12
4,1.0,2.0,3.0,4.547142857142857,4,1.0,1501.0,1,0.6191780821917808,10.0,12,t,Ward 70,Entire rental unit,72
2,1.0,1.0,1.0,4.857142857142857,38,1.0,5000.0,2,0.6986301369863014,180.0,1,t,Ward 64,Entire rental unit,6
2,1.0,1.0,1.0,4.388571428571429,4,1.0,1200.0,2,0.726027397260274,11.0,11,f,Ward 115,Entire rental unit,66
2,1.0,1.0,1.0,4.822857142857143,1,1.0,1250.0,3,0.06301369863013699,40.0,8,f,Ward 115,Entire rental unit,48
4,1.5,2.0,3.0,4.775714285714286,1,1.0,950.0,2,0.5589041095890411,441.0,21,f,Ward 61,Entire rental unit,0
4,2.0,2.0,2.0,4.738571428571428,18,1.0,2800.0,2,0.7643835616438356,43.0,6,t,Ward 54,Entire rental unit,6
4,1.5,2.0,2.0,4.922857142857143,1,1.0,5000.0,3,0.6986301369863014,9.0,40,t,Ward 54,Entire rental unit,168
2,1.0,1.0,1.0,4.775714285714286,22,0.86,1500.0,3,0.4876712328767123,171.0,7,t,Ward 115,Entire rental unit,6
2,1.0,1.0,1.0,4.868571428571428,3,1.0,720.0,1,0.9643835616438357,94.0,30,t,Ward 1,Private room in guesthouse,6
2,1.5,1.0,1.0,4.944285714285714,2,1.0,4523.0,2,0.6493150684931507,15.0,33,t,Ward 77,Entire loft,108
2,1.0,1.0,1.0,4.071428571428571,3,1.0,849.0,1,0.7589041095890411,26.0,2,t,Ward 59,Entire rental unit,12
2,1.0,1.0,1.0,4.764285714285714,4,1.0,1195.0,2,0.8849315068493151,385.0,20,f,Ward 64,Entire serviced apartment,0
2,1.0,1.0,1.0,4.934285714285714,1,1.0,650.0,2,0.7095890410958904,14.0,60,f,Ward 15,Entire cottage,30
6,2.0,2.0,2.0,4.835714285714286,13,0.71,1200.0,2,0.8383561643835616,16.0,21,f,Ward 23,Entire rental unit,96
4,3.0,3.0,3.0,5.0,1,1.0,4500.0,2,0.7123287671232876,10.0,4,f,Ward 14,Entire home,24
4,1.0,2.0,3.0,4.628571428571429,94,1.0,2059.0,1,0.8794520547945206,94.0,5,f,Ward 23,Entire rental unit,6
6,2.0,3.0,4.0,5.0,45,0.98,17000.0,3,0.9342465753424658,3.0,4,t,Ward 54,Entire rental unit,24
4,1.0,2.0,2.0,4.965714285714286,1,1.0,1480.0,5,0.4410958904109589,14.0,13,t,Ward 54,Entire rental unit,130
2,1.0,1.0,1.0,4.6899999999999995,2,1.0,1400.0,2,0.9205479452054794,102.0,18,t,Ward 55,Entire rental unit,24
2,1.0,1.0,2.0,4.78,1,1.0,1500.0,5,0.9726027397260274,58.0,24,t,Ward 64,Entire rental unit,90
4,1.0,1.0,1.0,4.685714285714285,1,0.9,1499.0,2,0.4657534246575342,45.0,5,f,Ward 55,Entire rental unit,30
2,1.0,1.0,2.0,1.0,160,1.0,1800.0,1,1.0,43.0,1,f,Ward 115,Room in hotel,6
2,1.0,1.0,1.0,4.975714285714285,1,1.0,1250.0,3,0.3780821917808219,23.0,97,t,Ward 115,Entire rental unit,156
12,4.5,6.0,8.0,4.777142857142857,52,1.0,23712.0,7,0.9616438356164384,438.0,7,t,Ward 62,Entire home,0
2,1.0,1.0,1.0,4.678571428571429,19,1.0,1400.0,1,0.21643835616438356,23.0,4,f,Ward 115,Entire rental unit,24
3,1.0,0.0,3.0,4.6242857142857146,3,1.0,1045.0,3,0.9178082191780822,42.0,68,f,Ward 4,Entire guesthouse,84
2,2.0,1.0,1.0,4.887142857142857,4,0.87,1925.0,3,0.9945205479452055,21.0,14,f,Ward 74,Entire rental unit,18
2,1.0,1.0,1.0,4.595714285714286,14,0.89,3500.0,1,0.5178082191780822,16.0,28,f,Ward 54,Room in boutique hotel,36
8,4.0,4.0,5.0,4.214285714285714,30,1.0,8761.0,2,0.14794520547945206,17.0,2,f,Ward 115,Entire home,12
2,1.0,1.0,1.0,4.952857142857143,4,1.0,1500.0,3,0.9780821917808219,53.0,3,t,Ward 107,Entire rental unit,18
2,1.0,1.0,1.0,4.904285714285714,1,0.86,1897.0,2,0.9863013698630136,51.0,3,f,Ward 54,Entire rental unit,18
2,1.0,1.0,1.0,4.914285714285714,1,1.0,1300.0,4,0.6191780821917808,9.0,8,f,Ward 54,Entire rental unit,64
4,2.0,2.0,3.0,4.832857142857144,1,1.0,1400.0,1,0.684931506849315,53.0,12,t,Ward 64,Entire rental unit,48
3,2.0,2.0,2.0,4.885714285714286,1,1.0,1850.0,5,0.08767123287671233,14.0,25,t,Ward 115,Entire condo,110
4,1.0,2.0,3.0,5.0,1,1.0,103.0,6,0.7068493150684931,40.0,1,f,Ward 23,Entire rental unit,12
5,2.0,2.0,3.0,4.935714285714286,1,1.0,3554.0,5,0.2273972602739726,9.0,34,f,Ward 115,Entire condo,190
2,1.0,1.0,1.0,4.924285714285714,12,0.94,1390.0,1,0.4136986301369863,78.0,19,t,Ward 115,Entire rental unit,108
2,1.0,1.0,1.0,4.8585714285714285,1,1.0,900.0,3,0.7780821917808219,76.0,3,f,Ward 74,Entire rental unit,18
6,2.5,4.0,4.0,5.0,1,1.0,3000.0,7,0.19726027397260273,69.0,2,f,Ward 73,Entire home,28
2,1.0,1.0,2.0,4.594285714285715,5,1.0,649.0,1,0.9808219178082191,28.0,100,f,Ward 62,Private room in home,42
8,4.5,4.0,4.0,4.832857142857143,1,1.0,5750.0,6,0.16986301369863013,12.0,6,f,Ward 74,Entire home,48
1,1.0,2.0,2.0,4.982857142857142,2,1.0,342.0,5,0.3726027397260274,93.0,17,t,Ward 57,Private room in home,70
2,1.0,1.0,1.0,4.824285714285715,1,1.0,900.0,2,0.8712328767123287,15.0,16,t,Ward 23,Entire rental unit,96
2,1.0,1.0,1.0,4.79,71,1.0,1450.0,2,0.42191780821917807,23.0,93,t,Ward 115,Entire rental unit,126
2,1.0,1.0,1.0,4.971428571428571,1,1.0,820.0,3,0.6136986301369863,386.0,5,f,Ward 67,Entire loft,0
2,1.0,1.0,1.0,4.778571428571428,3,1.0,1190.0,1,0.7213114754098361,0.0,20,t,Ward 74,Entire rental unit,66
2,1.5,1.0,1.0,4.8514285714285705,2,1.0,665.0,1,0.136986301369863,10.0,104,t,Ward 61,Private room in camper/rv,174
2,1.0,0.0,1.0,4.971428571428571,16,0.79,750.0,2,0.8849315068493151,88.0,5,f,Ward 115,Entire rental unit,30
4,2.0,2.0,2.0,4.588571428571428,25,1.0,1900.0,1,0.9232876712328767,80.0,62,f,Ward 115,Entire rental unit,30
5,1.0,2.0,3.0,4.637142857142857,1,1.0,1250.0,5,0.0136986301369863,228.0,26,f,Ward 83,Entire home,10
4,2.0,2.0,2.0,4.5685714285714285,4,1.0,3800.0,3,0.8958904109589041,26.0,24,f,Ward 115,Entire rental unit,54
4,2.0,2.0,2.0,4.734285714285714,1,1.0,2900.0,2,0.8164383561643835,32.0,43,f,Ward 54,Entire rental unit,162
8,4.0,4.0,4.0,4.142857142857143,20,1.0,15999.0,3,0.4273972602739726,712.0,2,t,Ward 54,Entire home,0
2,1.0,1.0,1.0,4.92,1,1.0,1850.0,2,0.936986301369863,1.0,293,t,Ward 115,Entire loft,168
4,3.0,2.0,2.0,5.0,1,1.0,1700.0,7,0.736986301369863,8.0,1,t,Ward 57,Entire rental unit,14
2,1.0,1.0,1.0,4.912857142857143,3,1.0,834.0,2,0.8602739726027397,9.0,61,t,Ward 21,Entire guest suite,54
2,1.0,1.0,1.0,4.545714285714285,23,1.0,1015.0,1,0.6712328767123288,17.0,16,f,Ward 115,Entire rental unit,90
2,1.5,1.0,1.0,4.918571428571428,5,1.0,1033.0,1,0.8602739726027397,10.0,7,t,Ward 74,Private room in bed and breakfast,18
2,1.0,1.0,1.0,4.668571428571428,22,1.0,1850.0,30,0.9534246575342465,40.0,3,t,Ward 54,Entire rental unit,180
4,2.0,2.0,2.0,4.725714285714285,33,0.96,1096.0,2,0.4931506849315068,49.0,25,t,Ward 115,Entire rental unit,78
4,2.0,2.0,3.0,4.707142857142857,181,0.99,6000.0,4,0.4986301369863014,18.0,68,f,Ward 54,Entire rental unit,64
4,2.0,2.0,3.0,4.957142857142857,1,1.0,1449.0,2,0.9424657534246575,2.0,10,f,Ward 64,Entire rental unit,60
2,1.0,1.0,1.0,4.762857142857143,3,1.0,1100.0,3,0.6794520547945205,14.0,3,t,Ward 74,Entire home,18
2,1.0,1.0,1.0,4.9871428571428575,3,1.0,1200.0,2,0.4328767123287671,16.0,32,t,Ward 105,Entire rental unit,54
10,5.0,5.0,6.0,5.0,3,0.93,10000.0,5,0.052054794520547946,804.0,1,t,Ward 77,Entire home,0
7,3.5,4.0,5.0,5.0,1,1.0,6000.0,7,0.8,16.0,6,f,Ward 62,Entire home,84
2,1.0,1.0,1.0,4.89,76,1.0,1250.0,1,0.2356164383561644,2.0,21,t,Ward 115,Entire rental unit,126
2,1.0,1.0,2.0,4.572857142857144,145,0.99,1667.0,1,0.9424657534246575,124.0,9,f,Ward 54,Entire rental unit,18
2,1.0,1.0,2.0,4.945714285714287,1,1.0,500.0,2,0.4246575342465753,13.0,125,t,Ward 69,Entire guesthouse,120
2,1.0,0.0,1.0,4.854285714285715,19,0.98,750.0,2,0.27945205479452057,14.0,88,t,Ward 54,Entire rental unit,255
1,1.0,1.0,1.0,4.872857142857143,1,1.0,450.0,1,0.4602739726027397,840.0,18,f,Ward 77,Private room in condo,0
2,1.0,1.0,1.0,4.731428571428571,35,0.99,1725.0,2,0.9452054794520548,47.0,61,f,Ward 54,Entire rental unit,126
2,1.0,1.0,2.0,4.952857142857143,5,1.0,1750.0,5,0.4520547945205479,14.0,22,t,Ward 115,Entire rental unit,140
4,2.0,2.0,3.0,4.804285714285713,9,0.98,3300.0,2,0.9534246575342465,3.0,34,t,Ward 115,Entire rental unit,204
2,0.5,1.0,1.0,4.932857142857142,2,1.0,710.0,1,0.7671232876712328,18.0,59,t,Ward 21,Private room in guest suite,42
2,1.0,1.0,1.0,4.428571428571429,1,1.0,650.0,1,0.9753424657534246,75.0,4,f,Ward 58,Private room in bed and breakfast,24
6,2.0,3.0,3.0,4.832857142857143,1,1.0,1000.0,5,0.038356164383561646,77.0,6,f,Ward 61,Entire home,20
5,2.0,3.0,3.0,4.808571428571428,3,1.0,2500.0,2,0.40821917808219177,10.0,6,f,Ward 69,Entire cabin,36
4,1.0,1.0,2.0,4.975714285714285,5,0.7,1600.0,1,0.25753424657534246,703.0,6,f,Ward 63,Entire cottage,0
2,1.0,1.0,1.0,4.857142857142857,1,1.0,525.0,1,0.4849315068493151,143.0,4,f,Ward 8,Private room in home,24
2,1.0,1.0,1.0,5.0,3,1.0,1300.0,30,0.15616438356164383,1896.0,3,t,Ward 23,Private room in villa,0
2,1.0,1.0,1.0,4.964285714285714,2,0.67,1150.0,2,0.6794520547945205,358.0,20,t,Ward 58,Entire rental unit,6
6,2.0,3.0,4.0,4.624285714285714,181,0.99,8000.0,4,0.8547945205479452,15.0,29,f,Ward 115,Entire rental unit,32
12,4.5,6.0,6.0,4.428571428571429,4,1.0,8650.0,5,0.3917808219178082,82.0,2,f,Ward 61,Entire home,10
4,1.0,2.0,2.0,4.942857142857143,1,1.0,1100.0,2,0.2602739726027397,269.0,10,f,Ward 113,Entire rental unit,12
8,3.0,4.0,8.0,4.857142857142857,1,1.0,3800.0,1,0.8493150684931506,31.0,1,f,Ward 73,Entire home,6
2,1.0,0.0,2.0,5.0,12,1.0,1149.0,1,0.9534246575342465,14.0,3,f,Ward 115,Entire rental unit,18
4,1.5,2.0,3.0,5.0,6,1.0,1550.0,1,0.8493150684931506,97.0,1,t,Ward 4,Private room in guesthouse,6
4,2.5,2.0,2.0,5.0,36,0.67,1740.0,1,0.873972602739726,34.0,2,f,Ward 23,Entire rental unit,12
2,1.0,0.0,1.0,4.872857142857143,3,1.0,990.0,5,0.5972602739726027,19.0,100,t,Ward 23,Entire rental unit,190
